"COD_RETORNO","TIPO","DATA_REFERENCIA","VALOR","VARIACAO","VAR_ACUM","GRUPO","RETORNO_DIA","VARIANCIA_DIA","STA"
"0CMSCTF008",0,2025-01-29 00:00:00.000,101.01963272,0.18634964873879292,0.00013780234755980756,2,-0.004433561422676467,0.00013780234755980756,1
"0CMSCTF008",0,2025-01-28 00:00:00.000,101.46850378,0.19748138606583357,0.00015475753112096353,2,-0.007713218242473974,0.00015475753112096353,1
"0CMSCTF008",0,2025-01-27 00:00:00.000,102.25417864,0.20601961348846953,0.00016842889342039036,2,0.023344416242780188,0.00016842889342039036,1
"0CMSCTF008",0,2025-01-24 00:00:00.000,99.89476129,0.16978485095034024,0.00011439244290567164,2,-0.0026408444622504764,0.00011439244290567164,1
"0CMSCTF008",0,2025-01-23 00:00:00.000,100.15891646,0.18086361027050482,0.00012980811714317878,2,-0.009937153740476693,0.00012980811714317878,1
"0CMSCTF008",0,2025-01-22 00:00:00.000,101.15917263,0.18394281597193282,0.00013426571249081087,2,0.000991965147510899,0.00013426571249081087,1
"0CMSCTF008",0,2025-01-21 00:00:00.000,101.05887601,0.1966088713318293,0.00015339304875545956,2,0.007317537846544104,0.00015339304875545956,1
"0CMSCTF008",0,2025-01-20 00:00:00.000,100.32207294,0.2055868925391586,0.00016772210469804584,2,-0.003020306583438684,0.00016772210469804584,1
"0CMSCTF008",0,2025-01-17 00:00:00.000,100.6255344,0.21909285934025993,0.00019048286116623382,2,0.009192116265105105,0.00019048286116623382,1
"0CMSCTF008",0,2025-01-16 00:00:00.000,99.70481097,0.22767234463307845,0.00020569324012191764,2,-0.011540216287699322,0.00020569324012191764,1
"0CMSCTF008",0,2025-01-15 00:00:00.000,100.86209084,0.23336074399116608,0.00021610014617504185,2,0.0271173105061882,0.00021610014617504185,1
"0CMSCTF008",0,2025-01-14 00:00:00.000,98.16373365,0.1888883075909853,0.00014158251089121696,2,-0.001136367891205118,0.00014158251089121696,1
"0CMSCTF008",0,2025-01-13 00:00:00.000,98.27534717,0.20187217813658614,0.00016171577899051415,2,-0.004210954847386254,0.00016171577899051415,1
"0CMSCTF008",0,2025-01-10 00:00:00.000,98.69005276,0.21438166065274,0.00018237895406439115,2,-0.004773995462834107,0.00018237895406439115,1
"0CMSCTF008",0,2025-01-09 00:00:00.000,99.16232504,0.22744436731354584,0.00020528150882007603,2,0.004450751704604859,0.00020528150882007603,1
"0CMSCTF008",0,2025-01-08 00:00:00.000,98.72195886,0.24174053150014504,0.00023189874829354214,2,-0.01575651396317335,0.00023189874829354214,1
"0CMSCTF008",0,2025-01-07 00:00:00.000,100.28979214,0.24051300534368092,0.00022954962595019636,2,0.009523969558020753,0.00022954962595019636,1
"0CMSCTF008",0,2025-01-06 00:00:00.000,99.33916925,0.2507343996572468,0.00024947515544238084,2,0.026274433997057284,0.00024947515544238084,1
"0CMSCTF008",0,2025-01-03 00:00:00.000,96.76307965,0.21661901304232065,0.00018620554290249637,2,-0.012830118525657517,0.00018620554290249637,1
"0CMSCTF008",0,2025-01-02 00:00:00.000,98.01255978,0.2184141071172898,0.00018930445312636093,2,-0.004087078566929138,0.00018930445312636093,1
"0CMSCTF008",0,2024-12-31 00:00:00.000,98.41396454,0.23226440150372277,0.00021407441351540692,2,0.000050716141634973186,0.00021407441351540692,1
"0CMSCTF008",0,2024-12-30 00:00:00.000,98.40897349,0.24837187591919418,0.00024479598709372855,2,0.007259011210691253,0.00024479598709372855,1
"0CMSCTF008",0,2024-12-27 00:00:00.000,97.69720813,0.2619845800929421,0.0002723647627241079,2,0.0002976543344574029,0.0002723647627241079,1
"0CMSCTF008",0,2024-12-26 00:00:00.000,97.66813246,0.2801476336325756,0.00031143927234099925,2,0.005879881305075598,0.00031143927234099925,1
"0CMSCTF008",0,2024-12-24 00:00:00.000,97.09554047,0.29748188619355936,0.00035117251037015,2,0.00004197160344944345,0.00035117251037015,1
"0CMSCTF008",0,2024-12-23 00:00:00.000,97.0914653,0.3181123155168723,0.0004015692273155005,2,-0.01772928044531128,0.0004015692273155005,1
"0CMSCTF008",0,2024-12-20 00:00:00.000,98.82817695,0.32303330683777237,0.00041408935447042217,2,0.008778280552133762,0.00041408935447042217,1
"0CMSCTF008",0,2024-12-19 00:00:00.000,97.96443213,0.3413782886432953,0.00046245688871835323,2,0.02138251898659547,0.00046245688871835323,1
"0CMSCTF008",0,2024-12-18 00:00:00.000,95.89194229,0.3416559838904169,0.00046320956876241587,2,-0.04058287686080476,0.00046320956876241587,1
"0CMSCTF008",0,2024-12-17 00:00:00.000,99.86355789,0.2718795966885105,0.00029332744085518706,2,0.005494920485468538,0.00029332744085518706,1
"0CMSCTF008",0,2024-12-16 00:00:00.000,99.31632047,0.2888505539305853,0.0003310898512143094,2,0.0021525273874958735,0.0003310898512143094,1
"0CMSCTF008",0,2024-12-13 00:00:00.000,99.10276929,0.308611133640319,0.00037793980875699534,2,-0.02035260889350248,0.00037793980875699534,1
"0CMSCTF008",0,2024-12-12 00:00:00.000,101.14043476,0.3064774977038522,0.0003727319706302171,2,-0.03736809358308564,0.0003727319706302171,1
"0CMSCTF008",0,2024-12-11 00:00:00.000,104.99136281,0.23855559073964944,0.00022582845187755203,2,0.01131760228874281,0.00022582845187755203,1
"0CMSCTF008",0,2024-12-10 00:00:00.000,103.8098111,0.24585263111664582,0.00023985522312292668,2,0.015639599700244346,0.00023985522312292668,1
"0CMSCTF008",0,2024-12-09 00:00:00.000,102.19889707,0.24550362238272566,0.00023917471667872996,2,0.0031333497119613867,0.00023917471667872996,1
"0CMSCTF008",0,2024-12-06 00:00:00.000,101.87917335,0.2618523283682589,0.00027208984869793045,2,-0.023239399084261828,0.00027208984869793045,1
"0CMSCTF008",0,2024-12-05 00:00:00.000,104.2745094,0.24264220835389314,0.0002336319098208496,2,0.013114269493424034,0.0002336319098208496,1
"0CMSCTF008",0,2024-12-04 00:00:00.000,102.91595309,0.24719367909934456,0.0002424790277248799,2,0.0018803663977586347,0.0002424790277248799,1
"0CMSCTF008",0,2024-12-03 00:00:00.000,102.72261522,0.26409471350177965,0.0002767699115062979,2,0.012984981763035516,0.0002767699115062979,1
"0CMSCTF008",0,2024-12-02 00:00:00.000,101.39738659,0.27139932518938853,0.0002922920385446645,2,-0.009061586194411065,0.0002922920385446645,1
"0CMSCTF008",0,2024-11-29 00:00:00.000,102.32038334,0.28505906765659744,0.0003224550478303516,2,0.00977556029572803,0.0003224550478303516,1
"0CMSCTF008",0,2024-11-28 00:00:00.000,101.32501732,0.2991056643720347,0.0003550166605533185,2,-0.038364221021354665,0.0003550166605533185,1
"0CMSCTF008",0,2024-11-27 00:00:00.000,105.28780121,0.22153016938172648,0.0001947445077233985,2,-0.019707027474354873,0.0001947445077233985,1
"0CMSCTF008",0,2024-11-26 00:00:00.000,107.38329092,0.2051178337909015,0.0001669576418217139,2,0.018236818372590013,0.0001669576418217139,1
"0CMSCTF008",0,2024-11-25 00:00:00.000,105.44271014,0.18995681799114691,0.00014318885992587984,2,0.01272625152878786,0.00014318885992587984,1
"0CMSCTF008",0,2024-11-22 00:00:00.000,104.1093222,0.1881617174328521,0.00014049536471143044,2,0.016571813684525497,0.00014049536471143044,1
"0CMSCTF008",0,2024-11-21 00:00:00.000,102.39825878,0.17479724881207861,0.00012124634203282426,2,-0.01188729000130235,0.00012124634203282426,1
"0CMSCTF008",0,2024-11-19 00:00:00.000,103.62276016,0.172709487894395,0.00011836733019342925,2,0.0055691042792909914,0.00011836733019342925,1
"0CMSCTF008",0,2024-11-18 00:00:00.000,103.04727815,0.18162499226861245,0.00013090332466894259,2,0.013097032378030993,0.00013090332466894259,1
"0CMSCTF008",0,2024-11-14 00:00:00.000,101.70646412,0.17753395749612713,0.0001250726431120503,2,-0.0005403052031350385,0.0001250726431120503,1
"0CMSCTF008",0,2024-11-13 00:00:00.000,101.7614315,0.18981822575314244,0.0001429799953494879,2,-0.007476367380383757,0.0001429799953494879,1
"0CMSCTF008",0,2024-11-12 00:00:00.000,102.52508848,0.19794019270849605,0.00015547745987887522,2,-0.005730424535762516,0.00015547745987887522,1
"0CMSCTF008",0,2024-11-11 00:00:00.000,103.11428733,0.20884334660604156,0.00017307755326036197,2,0.00692019250008068,0.00017307755326036197,1
"0CMSCTF008",0,2024-11-08 00:00:00.000,102.40317995,0.21941500234589242,0.0001910434256128888,2,-0.018588882671341594,0.0001910434256128888,1
"0CMSCTF008",0,2024-11-07 00:00:00.000,104.32454332,0.2062895758741777,0.00016887059172360366,2,-0.016707821323225184,0.00016887059172360366,1
"0CMSCTF008",0,2024-11-06 00:00:00.000,106.08222175,0.19638514308798916,0.00015304414454638877,2,-0.001594217108829684,0.00015304414454638877,1
"0CMSCTF008",0,2024-11-05 00:00:00.000,106.25147472,0.20978560772029992,0.0001746428619308554,2,0.0030355299060041414,0.0001746428619308554,1
"0CMSCTF008",0,2024-11-04 00:00:00.000,105.92943422,0.22359039489267324,0.00019838359003278397,2,0.03239841673786607,0.00019838359003278397,1
"0CMSCTF008",0,2024-11-01 00:00:00.000,102.55248751,0.13858799307539643,0.00007621679295502432,2,-0.008771192349240179,0.00007621679295502432,1
"0CMSCTF008",0,2024-10-31 00:00:00.000,103.45595154,0.13849440766332088,0.00007611389267465918,2,-0.002873071444765691,0.00007611389267465918,1
"0CMSCTF008",0,2024-10-30 00:00:00.000,103.75361528,0.1470877689110375,0.00008585242763185227,2,0.013190216206749221,0.00008585242763185227,1
"0CMSCTF008",0,2024-10-29 00:00:00.000,102.39406873,0.13582209819933194,0.00007320492999709908,2,0.005322810165649344,0.00007320492999709908,1
"0CMSCTF008",0,2024-10-28 00:00:00.000,101.8504925,0.14167020054615517,0.00007964462588407868,2,0.010331652181515934,0.00007964462588407868,1
"0CMSCTF008",0,2024-10-25 00:00:00.000,100.80362588,0.13816816115086317,0.00007575571728496386,2,-0.008662435871778418,0.00007575571728496386,1
"0CMSCTF008",0,2024-10-24 00:00:00.000,101.68062381,0.13826208506565954,0.00007585874669326854,2,0.008255136360438658,0.00007585874669326854,1
"0CMSCTF008",0,2024-10-23 00:00:00.000,100.84469151,0.13926696274818157,0.00007696542425834679,2,0.003023834786673375,0.00007696542425834679,1
"0CMSCTF008",0,2024-10-22 00:00:00.000,100.5402144,0.1478108295794958,0.00008669857674991566,2,0.0037975420786028028,0.00008669857674991566,1
"0CMSCTF008",0,2024-10-21 00:00:00.000,100.15913275,0.15640308163560576,0.00009707112676632524,2,0.001164579610804926,0.00009707112676632524,1
"0CMSCTF008",0,2024-10-18 00:00:00.000,100.04255736,0.16710302392702156,0.00011080722462521723,2,-0.011302568681562581,0.00011080722462521723,1
